╔══════════════════════════════════════════════════════════════╗
║          THE SEED — MARKET EVOLUTION ENGINE                  ║
║  Config: market-config.paper.json                          ║
║  Mode: Paper                                               ║
║  Capital: $10,000                                          ║
║  Population: 50                                            ║
╚══════════════════════════════════════════════════════════════╝

[PAPER] Starting paper trading with live data...
[PAPER] Loading genome from: output_phase5/best_market_genome.json
[PAPER] Genome loaded: 2d4bc127-0090-4524-a73e-8818488b0a2c
[PAPER]   CPPN nodes: 25, connections: 87
[PAPER] Compiling brain...
[PAPER] Brain compiled: 477 neurons, 879 synapses
[PAPER] Connecting to live data feeds...
[PAPER] Trade log: output_paper\trades.jsonl
[PAPER] Brain decisions run every 15m (matching training regime).
[PAPER] Stop-loss: 2.0% per position
[PAPER] Paper trading active. Press Ctrl+C to stop.

Feed          Price    Pos       Entry   Unrl%    Net P&L       Equity  Trades    WR  Exit  ExitRaw  rSharpe    rDD  Elapsed
──────────────────────────────────────────────────────────────────────────────────────────────────────────────
[CoinglassFeed] Warnings: Exchange balance fetch failed: The requested operation requires an element of type 'Object', but the target element has type 'Array'.
  [BRAIN] Decision #0 (every 15m) at 14:12:37 UTC | price $75,486.09
186     $ 75,804.61   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:16
188     $ 75,800.00   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:16
190     $ 75,800.00   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:16
192     $ 75,815.71   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:17
194     $ 75,861.32   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:17
  [BRAIN] Decision #2 (every 15m) at 14:30:02 UTC | price $75,834.73
196     $ 75,834.73   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:17
198     $ 75,855.08   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:17
200     $ 75,857.54   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:17
202     $ 75,888.00   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:18
204     $ 75,888.00   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:18
206     $ 75,924.36   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:18
208     $ 75,964.79   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:18
210     $ 75,922.94   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:18
212     $ 75,925.61   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:18
214     $ 75,951.72   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:19
216     $ 75,973.89   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:19
218     $ 75,966.01   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:19
220     $ 75,998.00   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:19
222     $ 75,999.50   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:19
224     $ 76,007.59   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:19
226     $ 76,016.27   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:20
228     $ 76,014.09   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:20
230     $ 75,954.36   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:20
232     $ 75,882.90   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:20
234     $ 75,880.02   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:20
